item_id,tracking,verdict,db_status,live_status,sponsors_match,votes_match
9323,CMA 2019 #145,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
7768,CMA 2018 #245,exact,PLACED ON FILE,PLACED ON FILE,True,True
17944,RES 2023 #33,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
11957,CMA 2020 #122,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
30929,AR-25-51,exact,,,True,True
6483,COM 152 #2018,exact,PLACED ON FILE,PLACED ON FILE,True,True
7428,CMA 2018 #181,exact,PLACED ON FILE,PLACED ON FILE,True,True
21951,RES 2024 #10,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
14586,CMA 2021 #196,exact,REFERRED TO THE PETITION [UNANIMOUS],REFERRED TO THE PETITION [UNANIMOUS],True,True
12154,,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
6332,POR 2018 #36,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
24216,CMA 2024 #107,exact,REFERRED TO COMMITTEE [8 TO 0],REFERRED TO COMMITTEE [8 TO 0],True,True
13090,AR-20-65,exact,,,True,True
13743,POR 2021 #62,exact,ORDER ADOPTED AS AMENDED [UNANIMOUS],ORDER ADOPTED AS AMENDED [UNANIMOUS],True,True
9831,POR 2019 #252,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
13885,CMA 2021 #86,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
10081,POR 2019 #282,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
6836,RES 2018 #125,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
15024,RES 2021 #277,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
